street,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,raw_gap,m_i,weight_eta,W_FPG
江桥镇,4412.0,4946,135.0,331.0,0.8920339668418924,0.4078549848942598,0.4841789819476326,0.4841789819476326,0.3390934649702329,0.16418192865438258
江浦路街道,54.0,64,0.0,30.0,0.84375,0.0,0.84375,0.84375,0.004320098744817932,0.00364508331594013
江湾镇街道,416.0,458,2.0,37.0,0.9082969432314411,0.05405405405405406,0.854242889177387,0.854242889177387,0.03133785914891738,0.026770143340005194
江苏路街道,2.0,4,1.0,9.0,0.5,0.1111111111111111,0.3888888888888889,0.3888888888888889,0.00020571898784847294,8.000182860773948e-05
沪东新村街道,0.0,33,0.0,23.0,0.0,0.0,0.0,0.0,0.0021943358703837112,0.0
泖港镇,2.0,53,16.0,37.0,0.03773584905660377,0.43243243243243246,-0.3946965833758287,0.3946965833758287,0.003565795789373531,-0.0014074074150816488
泗泾镇,1560.0,1785,125.0,413.0,0.8739495798319328,0.3026634382566586,0.5712861415752741,0.5712861415752741,0.12233422477389191,0.06988784725367903
泥城镇,194.0,277,28.0,94.0,0.7003610108303249,0.2978723404255319,0.40248867040479297,0.40248867040479297,0.01892614688205951,0.007617559694445951
洋泾街道,127.0,145,8.0,22.0,0.8758620689655172,0.36363636363636365,0.5122257053291536,0.5122257053291536,0.0098745114167267,0.005057978575213614
洞泾镇,489.0,594,48.0,266.0,0.8232323232323232,0.18045112781954886,0.6427811954127743,0.6427811954127743,0.04066378659804815,0.026137917359503344
浦兴路街道,20.0,61,10.0,72.0,0.32786885245901637,0.1388888888888889,0.18897996357012747,0.18897996357012747,0.004114379756969459,0.0007775353365857583
浦江镇,3723.0,4598,359.0,1399.0,0.8096998695084819,0.2566118656182988,0.5530880038901831,0.5530880038901831,0.31523006237981005,0.17434996596782704
海湾旅游区,1.0,11,8.0,16.0,0.09090909090909091,0.5,-0.40909090909090906,0.40909090909090906,0.0006857299594949098,-0.0002805258925206449
海湾镇,36.0,47,10.0,10.0,0.7659574468085106,1.0,-0.23404255319148937,0.23404255319148937,0.0031543578136765853,-0.0007382539563923923
淞南镇,4175.0,4721,298.0,332.0,0.8843465367506884,0.8975903614457831,-0.013243824695094664,0.013243824695094664,0.3236645408815974,-0.004286556439454176
淮海中路街道,511.0,548,3.0,95.0,0.9324817518248175,0.031578947368421054,0.9009028044563965,0.9009028044563965,0.037509428784371565,0.03379234958539783
港沿镇,0.0,142,24.0,42.0,0.0,0.5714285714285714,-0.5714285714285714,0.5714285714285714,0.009668792428878229,-0.005525024245073273
港西镇,0.0,37,8.0,8.0,0.0,1.0,-1.0,1.0,0.002468627854181675,-0.002468627854181675
湖南路街道,3.0,4,0.0,3.0,0.75,0.0,0.75,0.75,0.00020571898784847294,0.0001542892408863547
漕河泾新兴技术开发区,134.0,141,1.0,1.0,0.950354609929078,1.0,-0.049645390070921946,0.049645390070921946,0.009600219432928738,-0.0004766066385141923
漕河泾街道,762.0,832,19.0,109.0,0.9158653846153846,0.1743119266055046,0.7415534580098799,0.7415534580098799,0.056984159634027004,0.04225680062839974
漕泾镇,1.0,1,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0
潍坊新村街道,658.0,684,27.0,67.0,0.9619883040935673,0.40298507462686567,0.5590032294667016,0.5590032294667016,0.04683535623350234,0.026181115387751218
瑞金二路街道,33.0,33,0.0,2.0,1.0,0.0,1.0,1.0,0.0021943358703837112,0.0021943358703837112
甘泉路街道,0.0,11,8.0,8.0,0.0,1.0,-1.0,1.0,0.0006857299594949098,-0.0006857299594949098
田林街道,315.0,352,15.0,26.0,0.8948863636363636,0.5769230769230769,0.3179632867132868,0.3179632867132868,0.024069121578271336,0.007653097005328846
白鹤镇,78.0,101,24.0,24.0,0.7722772277227723,1.0,-0.2277227722772277,0.2277227722772277,0.0068572995949490985,-0.0015615632740973192
盈浦街道,496.0,595,12.0,74.0,0.8336134453781513,0.16216216216216217,0.6714512832159891,0.6714512832159891,0.040732359593997645,0.027349795117804825
真如镇街道,761.0,846,10.0,29.0,0.8995271867612293,0.3448275862068966,0.5546996005543328,0.5546996005543328,0.05794418157731988,0.03214161437538706
真新街道,296.0,408,28.0,87.0,0.7254901960784313,0.3218390804597701,0.40365111561866124,0.40365111561866124,0.02790920935144283,0.011265583490744671
石化街道,42.0,46,22.0,22.0,0.9130434782608695,1.0,-0.08695652173913049,0.08695652173913049,0.003085784817727094,-0.0002683291145849649
石泉路街道,134.0,144,2.0,5.0,0.9305555555555556,0.4,0.5305555555555556,0.5305555555555556,0.00980593842077721,0.00520259510657902
石湖荡镇,121.0,161,8.0,11.0,0.7515527950310559,0.7272727272727273,0.024280067758328583,0.024280067758328583,0.010971679351918557,0.00026639311808723717
石门二路街道,895.0,935,2.0,23.0,0.9572192513368984,0.08695652173913043,0.8702627295977681,0.8702627295977681,0.06404717821682458,0.055737872138008474
祝桥镇,9617.0,10289,114.0,439.0,0.9346875303722422,0.25968109339407747,0.6750064369781648,0.6750064369781648,0.7054789823283633,0.47620285422445013
竖新镇,6.0,107,5.0,5.0,0.056074766355140186,1.0,-0.9439252336448598,0.9439252336448598,0.007268737570646044,-0.006861144809675238
练塘镇,0.0,43,0.0,14.0,0.0,0.0,0.0,0.0,0.0028800658298786213,0.0
罗店镇,1138.0,1533,53.0,506.0,0.7423352902804957,0.10474308300395258,0.6375922072765432,0.6375922072765432,0.10505382979462018,0.06698150322160616
罗泾镇,225.0,378,24.0,89.0,0.5952380952380952,0.2696629213483146,0.32557517388978063,0.32557517388978063,0.0258520194729581,0.008416775735310328
老港镇,8.0,50,0.0,10.0,0.16,0.0,0.16,0.16,0.003360076801525058,0.0005376122882440093
航头镇,775.0,1104,60.0,258.0,0.7019927536231884,0.23255813953488372,0.46943461408830467,0.46943461408830467,0.07563601453228855,0.03550616329314228
花木街道,1077.0,1223,72.0,124.0,0.8806214227309894,0.5806451612903226,0.2999762614406668,0.2999762614406668,0.08379620105027798,0.025136871113992865
芷江西路街道,113.0,127,0.0,53.0,0.889763779527559,0.0,0.889763779527559,0.889763779527559,0.008640197489635864,0.0076877347742429335
莘庄工业区,334.0,381,6.0,24.0,0.8766404199475065,0.25,0.6266404199475065,0.6266404199475065,0.026057738460806574,0.016328832171962123
莘庄镇,3161.0,3489,178.0,275.0,0.9059902550874176,0.6472727272727272,0.2587175278146904,0.2587175278146904,0.23918260987182455,0.061880733522304006
菊园新区,1444.0,1607,38.0,137.0,0.8985687616677038,0.2773722627737226,0.6211964988939812,0.6211964988939812,0.11012823149488252,0.06841127183400689
虹桥街道,5134.0,5334,45.0,71.0,0.9625046869141357,0.6338028169014085,0.3287018700127272,0.3287018700127272,0.3656997873986354,0.12020620398118823
虹桥镇,1025.0,1069,103.0,160.0,0.9588400374181478,0.64375,0.3150900374181478,0.3150900374181478,0.07323595967405637,0.023075921274052384
虹梅路街道,87.0,92,12.0,106.0,0.9456521739130435,0.11320754716981132,0.8324446267432322,0.8324446267432322,0.006240142631403679,0.0051945732036233665
西渡街道,0.0,26,0.0,32.0,0.0,0.0,0.0,0.0,0.0017143248987372746,0.0
豫园街道,121.0,129,6.0,12.0,0.937984496124031,0.5,0.437984496124031,0.437984496124031,0.008777343481534845,0.003844340362067587
赵巷镇,494.0,610,73.0,263.0,0.8098360655737705,0.27756653992395436,0.5322695256498162,0.5322695256498162,0.04176095453324001,0.022228083460091204
车墩镇,601.0,900,114.0,152.0,0.6677777777777778,0.75,-0.0822222222222222,0.0822222222222222,0.06164712335859239,-0.005068763476150928
重固镇,247.0,318,62.0,176.0,0.7767295597484277,0.3522727272727273,0.42445683247570043,0.42445683247570043,0.02173763971598864,0.009226689699346521
金山卫镇,15.0,29,16.0,65.0,0.5172413793103449,0.24615384615384617,0.2710875331564987,0.2710875331564987,0.0019200438865857475,0.0005204999607667464
金山工业区,81.0,126,18.0,32.0,0.6428571428571429,0.5625,0.0803571428571429,0.0803571428571429,0.008571624493686373,0.0006887912539569411
金杨新村街道,213.0,246,14.0,37.0,0.8658536585365854,0.3783783783783784,0.48747528015820696,0.48747528015820696,0.01680038400762529,0.008189771900882598
金桥经济技术开发区,1435.0,1528,77.0,131.0,0.9391361256544503,0.5877862595419847,0.35134986611246555,0.35134986611246555,0.10471096481487273,0.036790183468212626
金桥镇,0.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.00013714599189898195,0.0
金汇镇,108.0,454,37.0,214.0,0.23788546255506607,0.17289719626168223,0.06498826629338383,0.06498826629338383,0.031063567165119415,0.002018767374949195
金泽镇,18.0,48,28.0,31.0,0.375,0.9032258064516129,-0.5282258064516129,0.5282258064516129,0.003222930809626076,-0.0017024352260524836
金海街道,172.0,277,11.0,124.0,0.6209386281588448,0.08870967741935484,0.53222895073949,0.53222895073949,0.01892614688205951,0.010073043296580002
长兴镇,16.0,75,12.0,30.0,0.21333333333333335,0.4,-0.18666666666666668,0.18666666666666668,0.005074401700262333,-0.0009472216507156355
