station_id,D_i,Event_Count,D_norm,A_i,CACL,Quad,Color
10004,76.77000000000001,4,0.0010059077320600754,0.034364598789313285,0.005879423069597266,Q3,#7f7f7f
10008,2458.79,9,0.0335659340389189,0.06504182585344,0.04672461488730985,Q3,#7f7f7f
10012,1183.21,5,0.01612992663490761,0.011548606075511463,0.01364837604748082,Q3,#7f7f7f
10018,823.79,3,0.011216985242639197,0.0694198159552614,0.02790485712410827,Q3,#7f7f7f
10022,1603.38,7,0.021873264748505677,0.006508126271923693,0.011931218251397977,Q3,#7f7f7f
10023,536.0,1,0.007283160182038993,0.02132650772750329,0.01246291987870013,Q3,#7f7f7f
10025,1218.23,3,0.016608617880684802,0.0012548923755948099,0.004565306993799978,Q3,#7f7f7f
10027,1231.76,3,0.016793560557879703,0.013428918278328459,0.015017301766093888,Q3,#7f7f7f
10031,449.34,1,0.006098597550427004,0.028477140446355194,0.01317841488834327,Q3,#7f7f7f
10032,214.46,1,0.0028880036095889757,0.03241949273760471,0.009676136214793898,Q3,#7f7f7f
10037,591.94,2,0.008047808619753908,0.009851743047274838,0.008904209263907665,Q3,#7f7f7f
10038,17990.42,18,0.2458690555023817,0.012167908090327252,0.05469654531694438,Q3,#7f7f7f
10039,17681.49,17,0.24164626605184064,0.014923397335924888,0.060051504918979634,Q3,#7f7f7f
10040,1800.8500000000001,7,0.024572498337986626,0.0023546141720709696,0.007606494122117866,Q3,#7f7f7f
10041,1267.32,7,0.017279633107846495,0.005862712267986182,0.010065064182988196,Q3,#7f7f7f
10042,905.63,3,0.012335662899818115,0.006796804692796592,0.009156587327505843,Q3,#7f7f7f
10043,5225.75,23,0.07138773670641375,0.020188243427368774,0.03796304790658924,Q3,#7f7f7f
10047,16.240000000000002,1,0.0001785182087335859,0.005961931479032387,0.0010316556248231481,Q3,#7f7f7f
10052,27415.54,85,0.3747017920643339,0.01501221461183036,0.07500069144952741,Q4,#d62728
10053,62086.96,340,0.8486282692963265,0.030274543985369003,0.16028672392322205,Q4,#d62728
10055,46729.01,94,0.6386991939655474,0.010893697606007034,0.08341340348086215,Q4,#d62728
10056,22708.2,39,0.3103567763905239,0.000736783504439126,0.0151216980969546,Q4,#d62728
10057,9033.71,34,0.12343905356163164,0.0017156292999519849,0.014552513770777806,Q3,#7f7f7f
10060,553.81,1,0.0075266065294773655,0.009154955918445156,0.008300948800760474,Q3,#7f7f7f
10061,29313.01,51,0.40063846476921267,0.016993932959410016,0.08251316992607272,Q4,#d62728
10062,2184.46,57,0.029816094819785317,0.03546815203723758,0.032519560025080864,Q3,#7f7f7f
10063,59631.549999999996,92,0.8150650690737741,0.042658280802536426,0.18646521013016826,Q4,#d62728
10065,482.34000000000003,18,0.006549677250902375,0.07237461001681188,0.021772237752928473,Q3,#7f7f7f
10067,2019.8899999999999,10,0.027566574022596473,0.07013081448835545,0.043968924126685564,Q3,#7f7f7f
10070,986.64,36,0.013442995219075986,0.07707334278170047,0.03218845411840407,Q3,#7f7f7f
