Street_Cumulative_Share_Units,Street_Cumulative_Share_Mismatch,Station_Cumulative_Share_Units,Station_Cumulative_Share_Mismatch
0.0,0.0,0.0,0.0
0.004784688995215311,0.0,0.000449842555105713,0.0
0.009569377990430622,0.0,0.000899685110211426,0.0
0.014354066985645933,0.0,0.001349527665317139,0.0
0.019138755980861243,0.0,0.001799370220422852,0.0
0.023923444976076555,0.0,0.002249212775528565,0.0
0.028708133971291867,0.0,0.002699055330634278,0.0
0.03349282296650718,0.0,0.003148897885739991,0.0
0.03827751196172249,0.0,0.003598740440845704,0.0
0.0430622009569378,0.0,0.004048582995951417,0.0
0.04784688995215311,0.00013937437998864021,0.00449842555105713,0.0
0.05263157894736842,0.0003948911561320617,0.004948268106162843,0.0
0.05741626794258373,0.0007985373116556085,0.005398110661268556,0.0
0.06220095693779904,0.0012611186666773306,0.005847953216374269,0.0
0.06698564593301436,0.0017421496791297328,0.006297795771479982,0.0
0.07177033492822966,0.0022646041527978836,0.006747638326585695,0.0
0.07655502392344497,0.0028513678914045566,0.007197480881691408,0.0
0.08133971291866028,0.003477045422863159,0.007647323436797121,0.0
0.0861244019138756,0.004160964119290171,0.008097165991902834,0.0
0.09090909090909091,0.004846600801941687,0.008547008547008548,0.0
0.09569377990430622,0.005548182523724634,0.00899685110211426,0.0
0.10047846889952153,0.006361610606951237,0.009446693657219974,0.0
0.10526315789473684,0.007182311150480753,0.009896536212325686,0.0
0.11004784688995216,0.00802796769012984,0.0103463787674314,0.0
0.11483253588516747,0.008892931456711554,0.010796221322537112,0.0
0.11961722488038277,0.009758215580243854,0.011246063877642825,0.0
0.12440191387559808,0.010656900087725723,0.011695906432748537,0.0
0.1291866028708134,0.011572006681355652,0.012145748987854251,0.0
0.1339712918660287,0.01248746165476806,0.012595591542959963,0.0
0.13875598086124402,0.01341827949452649,0.013045434098065677,0.0
0.14354066985645933,0.014397767358787951,0.01349527665317139,0.0
0.14832535885167464,0.015406891753133284,0.013945119208277103,0.0
