station_id,Time_Window,vehicleposition_longitude,vehicleposition_latitude,W_FPG,abs_w_fpg,delta_s,Delta_s,Sigma_s
11909,Whole_Day,121.357,31.3295,2.9607698001480383e-06,2.9607698001480383e-06,1.0,2,5.0
11910,Whole_Day,121.378,31.329,8.388847767086108e-05,8.388847767086108e-05,17.0,20,12.0
11912,Whole_Day,121.339,31.422,4.934616333580064e-06,4.934616333580064e-06,1.0,1,6.0
11915,Whole_Day,121.339,31.421,0.0008536886257093511,0.0008536886257093511,173.0,187,6.0
11916,Whole_Day,121.336,31.421,4.934616333580064e-06,4.934616333580064e-06,1.0,1,39.0
11918,Whole_Day,121.338,31.42,0.000611892425363928,0.000611892425363928,124.0,131,6.0
11919,Whole_Day,121.33800000000001,31.388,-1.4803849000740193e-05,1.4803849000740193e-05,0.0,3,1.0
11920,Whole_Day,121.33401466992666,31.392943765281174,0.0017271157167530224,0.0017271157167530224,350.0,409,24.0
11921,Whole_Day,121.338,31.419,4.934616333580064e-06,4.934616333580064e-06,1.0,1,39.0
11922,Whole_Day,121.333,31.396,0.0,0.0,0.0,15,2.0
11923,Whole_Day,121.332,31.396000000000004,0.0,0.0,0.0,5,2.0
11925,Whole_Day,121.3328125,31.4020625,-3.9476930668640514e-05,3.9476930668640514e-05,0.0,16,16.0
11926,Whole_Day,121.354,31.39,4.934616333580064e-06,4.934616333580064e-06,1.0,1,26.0
11928,Whole_Day,121.39630541871921,31.340605911330048,-6.415001233654086e-05,6.415001233654086e-05,190.0,203,26.0
11929,Whole_Day,121.397,31.334,0.0,0.0,0.0,8,1.0
11931,Whole_Day,121.3880193236715,31.343057971014492,-0.000305946212681964,0.000305946212681964,352.0,414,26.0
11937,Whole_Day,121.28799999999998,31.351,-4.934616333580064e-05,4.934616333580064e-05,0.0,10,8.0
11938,Whole_Day,121.28213397129187,31.349626794258374,-0.0001134961756723415,0.0001134961756723415,186.0,209,16.0
11940,Whole_Day,121.3674,31.374000000000002,0.0,0.0,0.0,5,88.0
11941,Whole_Day,121.41070588235294,31.420352941176468,0.0,0.0,0.0,17,5.0
11942,Whole_Day,121.409,31.422,0.0,0.0,0.0,23,5.0
11943,Whole_Day,121.374,31.361963963963962,0.0005033308660251665,0.0005033308660251665,102.0,111,7.0
11944,Whole_Day,121.372,31.359,0.0,0.0,0.0,2,1.0
11946,Whole_Day,121.373,31.358600000000003,0.0,0.0,0.0,5,7.0
11951,Whole_Day,121.25404098360656,31.355,0.0011152232913890945,0.0011152232913890945,226.0,244,1.0
11956,Whole_Day,121.37894444444444,31.328888888888887,7.401924500370096e-05,7.401924500370096e-05,15.0,18,12.0
11957,Whole_Day,121.357,31.344,4.934616333580064e-06,4.934616333580064e-06,1.0,1,4.0
11962,Whole_Day,121.37,31.352,0.0,0.0,0.0,3,13.0
11963,Whole_Day,121.40400221238937,31.369,-0.00010856155933876134,0.00010856155933876134,430.0,452,12.0
11965,Whole_Day,121.405,31.363,0.0,0.0,0.0,1,83.0
11966,Whole_Day,121.376,31.352,0.0,0.0,0.0,1,20.0
11967,Whole_Day,121.404,31.367999999999995,-0.00016777695534172228,0.00016777695534172228,641.0,675,12.0
11968,Whole_Day,121.405,31.368000000000002,-7.401924500370095e-05,7.401924500370095e-05,277.0,292,12.0
