station_id,S_i,B_i,Total_Volume,Daily_Events
10008,-0.5,0.0,9,1.2857142857142858
10012,0.0,0.0,5,0.7142857142857143
10022,0.0,0.0,7,1.0
10038,-1.0,0.0,18,2.5714285714285716
10039,-0.5,0.0,17,2.4285714285714284
10040,-1.0,0.0,7,1.0
10041,0.0,0.0,7,1.0
10043,,0.0,23,3.2857142857142856
10052,-0.5136054421768708,0.4748741727760794,85,12.142857142857142
10053,0.7043922127255461,0.3920333734991611,340,48.57142857142857
10055,0.0,0.0,94,13.428571428571429
10056,-1.0,0.0,39,5.571428571428571
10057,-1.0,0.0,34,4.857142857142857
10061,0.0,0.0,51,7.285714285714286
10062,0.8968253968253967,0.3003525265611065,57,8.142857142857142
10063,0.0,0.0,92,13.142857142857142
10065,0.0,0.0,18,2.5714285714285716
10067,-1.0,0.0,10,1.4285714285714286
10070,0.0,0.0,36,5.142857142857143
10072,0.0,0.0,80,11.428571428571429
10075,0.0,0.0,36,5.142857142857143
10078,-0.4,0.31622776601683794,10,1.4285714285714286
10079,0.0,0.0,6,0.8571428571428571
10080,0.0,0.0,5,0.7142857142857143
10081,-0.875,0.3378319623460881,31,4.428571428571429
10082,0.0,0.0,41,5.857142857142857
10083,-0.08333333333333333,0.2572478777137633,21,3.0
10090,0.0,0.0,10,1.4285714285714286
10091,-0.7692307692307693,0.4385290096535146,13,1.8571428571428572
10092,0.0,0.0,12,1.7142857142857142
10094,1.0,0.0,6,0.8571428571428571
10096,0.0,0.0,19,2.7142857142857144
10098,-0.46,0.2,25,3.5714285714285716
10104,0.5437158469945356,0.3116587036182106,82,11.714285714285714
10105,-0.04,0.2,29,4.142857142857143
10107,-0.032520325203252036,0.1633822724094306,55,7.857142857142857
10111,0.38461538461538464,0.29957234475763905,14,2.0
10112,-0.5555555555555556,0.0,43,6.142857142857143
10114,-0.875,0.3415650255319866,18,2.5714285714285716
10115,-0.9,0.31622776601683794,10,1.4285714285714286
10116,-1.0,0.0,10,1.4285714285714286
10119,0.0,0.0,11,1.5714285714285714
10120,0.0,0.0,55,7.857142857142857
10121,0.0,0.0,38,5.428571428571429
10122,0.0,0.0,101,14.428571428571429
10125,-0.06712962962962962,0.23844127734180795,102,14.571428571428571
10131,0.0,0.0,14,2.0
10135,1.0,0.0,10,1.4285714285714286
