station_id,S_i,B_i,Total_Volume,Regime
12962,0.6135065970235432,0.1127182656503253,1143,Q1
10554,0.9691358024691359,0.11357663399018601,36,Q1
14741,0.8602679716770767,0.11691957055002532,1779,Q1
10227,0.4722222222222222,0.1178511301977579,24,Q1
13842,0.9571604162616112,0.1181720301428164,1048,Q1
12341,0.46228533157862245,0.11898704973839302,853,Q1
12599,0.9705882352941176,0.12126781251816648,19,Q1
15940,0.9705882352941176,0.12126781251816648,53,Q1
14294,0.7781284832273119,0.12183464866864567,1105,Q1
11034,0.96875,0.12296734420949121,40,Q1
12843,0.9657105361829772,0.12598646490409607,363,Q1
15771,0.9521294145691446,0.126762137288741,717,Q1
14491,0.9759533537623425,0.1292215155478294,215,Q1
13604,0.9415260592425947,0.13056999539114147,462,Q1
15706,0.9764705882352941,0.13151775076964706,142,Q1
12824,0.09205130639556865,0.13174807638735284,515,Q1
15789,0.805985552115583,0.13245323570650439,77,Q1
12566,0.9767857142857143,0.13340044247988922,171,Q1
16020,0.39285714285714285,0.1336306209562122,15,Q1
15163,0.9606194690265486,0.13398393995248736,261,Q1
15563,0.703042328042328,0.13445499028410499,401,Q1
11238,0.9549013299013299,0.13678921707400213,385,Q1
12730,0.9675925925925927,0.13697088350335482,54,Q1
13362,0.9769230769230769,0.1378056044411279,98,Q1
10517,0.9710526315789474,0.13793500984304402,182,Q1
15645,0.4640913508260447,0.13815348993556556,212,Q1
12355,0.9731638418079096,0.1396498408771621,74,Q1
12325,0.8309157509157509,0.14041934080843502,536,Q1
15154,0.6393034825870647,0.1409354716749478,110,Q1
12861,0.47540983606557374,0.14219205053368023,116,Q1
14613,0.4703703703703704,0.142696900513532,106,Q1
11449,0.9509614143760485,0.14270281086015987,409,Q1
16697,0.9745762711864406,0.14454830995205084,91,Q1
12525,0.9787234042553191,0.14586499149789456,72,Q1
14808,0.9602409638554217,0.1479038572330874,159,Q1
14735,0.9418396418396419,0.1479095333804846,316,Q1
11199,0.42823725981620714,0.14799719803082467,190,Q1
16364,0.9221397271029624,0.14938069110305707,717,Q1
15783,0.9545454545454546,0.15075567228888181,15,Q1
15028,0.9722222222222222,0.1509925234518742,83,Q1
12464,0.4544713718820862,0.15438603612199328,316,Q1
11910,0.9404761904761905,0.15479712194401085,17,Q1
14300,0.9666666666666667,0.15586463778142384,92,Q1
12859,0.463768115942029,0.15621536274224837,120,Q1
12963,0.5914265648881034,0.15631912551626018,701,Q1
16493,0.575,0.15811388300841897,14,Q1
15425,0.95679012345679,0.1592210637895695,83,Q1
12946,0.9647435897435896,0.15943985029547145,74,Q1
13635,0.7096801346801348,0.15946030661554222,223,Q1
12602,0.940995115995116,0.15984200510311722,163,Q1
14697,0.9366103354962365,0.15987333239703289,651,Q1
12637,0.8703500203500203,0.16017348150380437,116,Q1
15757,0.830827067669173,0.16222142113076252,45,Q1
12296,0.7736842105263159,0.16222142113076254,48,Q1
14274,0.9736842105263158,0.16222142113076254,59,Q1
12648,0.8757702246074339,0.1625459585178634,190,Q1
10458,0.95625,0.16291937122081995,120,Q1
15917,0.9674796747967479,0.1633822724094306,54,Q1
11108,0.6988171185539607,0.16364504202092045,616,Q1
11071,0.9629629629629629,0.16402518938662855,78,Q1
15484,0.722972972972973,0.16439898730535726,40,Q1
13845,0.972972972972973,0.1643989873053573,46,Q1
12013,0.9622641509433962,0.16551367023990637,74,Q1
15318,0.9619565217391305,0.16639470564784462,78,Q1
15981,0.5873015873015872,0.16666666666666663,16,Q1
16528,0.9659090909090909,0.16697469773254647,60,Q1
13847,0.951271186440678,0.16784705621902143,282,Q1
15470,0.9352713178294574,0.16804175104943186,175,Q1
13163,0.9576271186440678,0.16836269329420572,106,Q1
12052,0.9248383367157131,0.16872040457218024,641,Q1
13891,0.9339362618432385,0.16877856169766756,484,Q1
12245,0.9143936229462546,0.16965388205417137,370,Q1
11607,0.9118524670850252,0.1713749079229012,485,Q1
12130,0.9705882352941176,0.17149858514250882,41,Q1
13735,0.7705882352941177,0.17149858514250882,41,Q1
15644,0.47058823529411764,0.17149858514250882,42,Q1
15891,0.8277310924369748,0.17149858514250882,48,Q1
14594,0.9449641803624105,0.17202476643697004,261,Q1
10880,0.5700491477719201,0.17263643250965335,295,Q1
12078,0.921838209806476,0.17280231266679616,556,Q1
15433,0.9474776049033475,0.172889876797669,195,Q1
11908,0.9515827403758439,0.17368880025447095,209,Q1
16448,0.9696969696969697,0.17407765595569782,44,Q1
11007,0.9239407185696248,0.17500048895280523,460,Q1
13190,0.9230006105006106,0.17503397336479254,524,Q1
15518,0.9199046211241333,0.17557298539153485,528,Q1
15749,0.9191919191919192,0.17558224448709095,57,Q1
15343,0.94683908045977,0.17570401127045315,82,Q1
10526,0.9344750195160031,0.17604778446699818,326,Q1
13776,0.96875,0.17677669529663687,40,Q1
14728,0.14802631578947367,0.1767766952966369,9,Q1
15492,0.9409297867241793,0.1770443079857233,230,Q1
11556,0.7393162393162392,0.17713418139541412,44,Q1
15142,0.8475666229794669,0.1779631891631217,237,Q1
10480,0.9497863247863247,0.17885102246755047,144,Q1
16703,0.914373897707231,0.1788724434959962,276,Q1
13146,0.9401408450704225,0.17938557976738823,124,Q1
