street,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,W_FPG
顾村镇,3932.0,4547,329.0,1042.0,0.8647459863646361,0.31573896353166986,0.012318455133587453
颛桥镇,3696.0,4124,192.0,399.0,0.8962172647914646,0.48120300751879697,0.008445688610868399
香花桥街道,1038.0,1148,39.0,163.0,0.9041811846689896,0.2392638036809816,0.003766716769672999
马桥镇,469.0,651,64.0,166.0,0.7204301075268817,0.3855421686746988,0.0010758058139292924
马陆镇,2177.0,2439,126.0,407.0,0.8925789257892579,0.3095823095823096,0.007016672819781628
高东镇,350.0,393,0.0,9.0,0.8905852417302799,0.0,0.0017271157167530224
高境镇,820.0,940,28.0,108.0,0.8723404255319149,0.25925925925925924,0.0028438011166853996
高桥镇,340.0,422,17.0,54.0,0.8056872037914692,0.3148148148148148,0.0010221966353227147
高行镇,2808.0,3001,20.0,44.0,0.9356881039653449,0.45454545454545453,0.007125137384204742
龙华街道,235.0,283,0.0,11.0,0.8303886925795053,0.0,0.001159634838391315
